,text,price,sales,location,comments,dp_name
0,【当日发货】xiaomi/小米红米9A手机学生机备用机老年老人机高清屏幕大电池大音量,569.00,75人付款,广东 广州,937,联通华盛手机官方旗舰店
1,6期免息+送礼品/当天发】新品Xiaomi/小米 小米10官方全网通Pro骁龙865手机旗舰9pro 5G全面屏手机店新正品11,3048.00,14人付款,广东 深圳,332,热图数码专营店
2,分期免息Apple/苹果 iPhone XR 苹果xs max xr 国行正品8plus手机,2190.00,7500+人付款,广东 深圳,774,新理念通讯城
3,【今日特惠30 入会至高省50】vivo iQOO U3x新品爱酷千元5G大电池学生老人拍照智能手机vivoiqooU3x vivou3x,1199.00,4316人付款,广东 东莞,423,vivo官方旗舰店
4,【6期免息】Smartisan锤子坚果手机R2 5g骁龙865智能全面屏大电池新款官方旗舰店 游戏手机官网安卓高通数码,3999.00,1811人付款,广东 深圳,1866,坚果手机旗舰店
5,【分期免息】Apple/苹果 iPhone XS Max 双卡双待手机x国行苹果xr,2680.00,3196人付款,上海,1734,优尚_韩衣店
6,✅✅分期免息Apple/苹果 iPhone XR苹果xs xsmax 苹果x iphonex手机,2200.00,4205人付款,上海,1122,壮壮通讯1123
7,Apple/苹果 iPhone XR国行双卡双待手机苹果Xsmax未激活iphone 11,2079.00,824人付款,广东 广州,47,吃货的小铺
8,分期免息Apple/苹果 iPhone XS Max苹果xr全新国行x正品8plus手机,1180.00,1213人付款,广东 深圳,42,xuanxuan68988
9,Apple/苹果 iPhone XS Max苹果xr国行xs max手机iPhonex苹果8plus,1430.00,601人付款,广东 深圳,16,智能高升数码
10,分期免息Apple/苹果 iPhone XR xs max苹果8x国行正品手机8plus,2080.00,7500+人付款,广东 深圳,1149,何人在炅途88
11,vivo Z5X极点全面屏高通骁龙710大电池长续航闪充手机vivoz5x z56,899.00,212人付款,广东 广州,33,tb2644240168
12,分期免息Apple/苹果 iPhone XS Max苹果xr xs苹果x iPhonex手机12,2100.00,4005人付款,广东 深圳,2684,壹加陆时尚女装
13,Apple/苹果 iPhone XR 国行双卡双待手机 苹果xr 未激活iphone xr,2330.00,444人付款,广东 广州,28,萌萌哒创意品
14,分期免息Apple/苹果 iPhone 8 Plus 苹果8P全新国行全网通手机8x,1220.00,1197人付款,广东 深圳,147,林业鸿11
15,分期Apple/苹果 iPhone X 国行xsmax全新iphonexr256g正品手机xs,2098.00,2726人付款,北京,5062,陈娜5218
16,国行Apple/苹果 iPhone XS Max 苹果x xs xsmax xr 手机分期免息,2139.00,2515人付款,广东 深圳,1161,安妮轩儿
